iter	Passed	Remaining
651	5423	2894
652	5428	2884
653	5438	2877
654	5444	2867
655	5454	2860
656	5461	2851
657	5475	2846
658	5542	2868
659	5565	2867
660	5570	2856
661	5575	2846
662	5584	2838
663	5589	2828
664	5598	2820
665	5603	2809
666	5609	2800
667	5616	2791
668	5626	2783
669	5633	2774
670	5640	2765
671	5647	2756
672	5652	2746
673	5661	2738
674	5666	2728
675	5674	2719
676	5680	2710
677	5687	2701
678	5694	2691
679	5698	2681
680	5708	2674
681	5713	2664
682	5722	2655
683	5727	2646
684	5734	2636
685	5741	2627
686	5746	2618
687	5755	2610
688	5763	2601
689	5769	2592
690	5773	2581
691	5785	2574
692	5789	2564
693	5798	2556
694	5803	2546
695	5810	2538
696	5816	2528
697	5821	2518
698	5829	2510
699	5834	2500
700	5842	2492
701	5848	2482
702	5857	2474
703	5865	2466
704	5873	2457
705	5880	2448
706	5888	2440
707	5896	2431
708	5904	2423
709	5914	2415
710	5922	2407
711	5928	2397
712	5938	2390
713	5944	2381
714	5953	2373
715	5966	2366
716	5972	2357
717	5980	2348
718	5989	2340
719	5995	2331
720	6012	2326
721	6023	2319
722	6034	2312
723	6043	2303
724	6056	2297
725	6073	2292
726	6089	2286
727	6096	2277
728	6103	2269
729	6111	2260
730	6119	2251
731	6124	2242
732	6132	2233
733	6138	2224
734	6145	2215
735	6150	2206
736	6158	2197
737	6163	2188
738	6173	2180
739	6178	2170
740	6186	2162
741	6191	2152
742	6198	2144
743	6205	2135
744	6212	2126
745	6220	2118
746	6225	2108
747	6237	2101
748	6248	2094
749	6253	2084
750	6261	2075
751	6266	2066
752	6271	2057
753	6278	2048
754	6283	2038
755	6291	2030
756	6296	2021
757	6304	2012
758	6310	2003
759	6316	1994
760	6323	1985
761	6330	1977
762	6336	1968
763	6342	1959
764	6349	1950
765	6355	1941
766	6364	1933
767	6371	1924
768	6379	1916
769	6384	1907
770	6392	1898
771	6399	1890
772	6409	1882
773	6414	1872
774	6421	1864
775	6427	1855
776	6434	1846
777	6441	1838
778	6450	1829
779	6457	1821
780	6464	1812
781	6472	1804
782	6480	1796
783	6487	1787
784	6495	1779
785	6503	1770
786	6511	1762
787	6518	1753
788	6526	1745
789	6533	1736
790	6541	1728
791	6552	1720
792	6559	1712
793	6566	1703
794	6574	1695
795	6580	1686
796	6588	1678
797	6595	1669
798	6602	1660
799	6609	1652
800	6614	1643
801	6624	1635
802	6629	1626
803	6636	1617
804	6643	1609
805	6650	1600
806	6658	1592
807	6666	1584
808	6673	1575
809	6680	1566
810	6687	1558
811	6692	1549
812	6699	1541
813	6705	1532
814	6717	1524
815	6722	1515
816	6732	1507
817	6737	1499
818	6749	1491
819	6758	1483
820	6766	1475
821	6774	1466
822	6782	1458
823	6789	1450
824	6794	1441
825	6800	1432
826	6807	1424
827	6813	1415
828	6825	1407
829	6830	1399
830	6839	1391
831	6845	1382
832	6854	1374
833	6860	1365
834	6870	1357
835	6876	1348
836	6884	1340
837	6890	1332
838	6895	1323
839	6905	1315
840	6910	1306
841	6919	1298
842	6924	1289
843	6933	1281
844	6939	1272
845	6948	1264
846	6955	1256
847	6964	1248
848	6970	1239
849	6979	1231
850	6984	1222
851	6990	1214
852	7048	1214
853	7068	1208
854	7076	1200
855	7081	1191
856	7086	1182
857	7095	1174
858	7100	1165
859	7109	1157
860	7115	1148
861	7124	1140
862	7129	1131
863	7139	1123
864	7145	1115
865	7150	1106
866	7156	1097
867	7161	1089
868	7172	1081
869	7177	1072
870	7187	1064
871	7192	1055
872	7201	1047
873	7207	1039
874	7216	1030
875	7222	1022
876	7231	1014
877	7236	1005
878	7245	997
879	7250	988
880	7255	980
881	7264	971
882	7269	963
883	7277	954
884	7282	946
885	7293	938
886	7299	929
887	7308	921
888	7312	913
889	7318	904
890	7326	896
891	7331	887
892	7339	879
893	7344	870
894	7348	862
895	7354	853
896	7360	845
897	7368	836
898	7373	828
899	7381	820
900	7386	811
901	7391	803
902	7399	794
903	7403	786
904	7411	778
905	7419	769
906	7423	761
907	7429	752
908	7433	744
909	7442	736
910	7446	727
911	7451	719
912	7460	710
913	7465	702
914	7474	694
915	7478	685
916	7487	677
917	7492	669
918	7497	660
919	7505	652
920	7510	644
921	7518	636
922	7523	627
923	7528	619
924	7536	611
925	7541	602
926	7549	594
927	7554	586
928	7559	577
929	7567	569
930	7572	561
931	7580	553
932	7585	544
933	7590	536
934	7598	528
935	7603	519
936	7611	511
937	7616	503
938	7621	495
939	7629	487
940	7634	478
941	7642	470
942	7648	462
943	7656	454
944	7661	445
945	7666	437
946	7674	429
947	7679	421
948	7687	413
949	7692	404
950	7697	396
951	7706	388
952	7710	380
953	7719	372
954	7724	363
955	7729	355
956	7738	347
957	7743	339
958	7751	331
959	7756	323
960	7761	314
961	7770	306
962	7775	298
963	7783	290
964	7787	282
965	7792	274
966	7800	266
967	7804	258
968	7813	249
969	7817	241
970	7822	233
971	7830	225
972	7834	217
973	7839	209
974	7847	201
975	7851	193
976	7859	185
977	7864	176
978	7869	168
979	7877	160
980	7882	152
981	7891	144
982	7895	136
983	7900	128
984	7908	120
985	7912	112
986	7916	104
987	7925	96
988	7929	88
989	7937	80
990	7942	72
991	7946	64
992	7955	56
993	7959	48
994	7964	40
995	7973	32
996	7978	24
997	7988	16
998	8035	8
999	8079	0
